ID,Categoria,Frase,Autore,Stato,Colonna_F_Testo_Elaborazione
36,Vendita,"Non vendiamo case, vendiamo il palcoscenico dove le persone vivranno la loro vita.",Antonio Giancani,Disponibile,"Non vendiamo case, vendiamo il palcoscenico dove le persone vivranno la loro vita. — Antonio Giancani"
37,Vendita,"Ogni NO ti avvicina al SÌ che cambierà la tua carriera.",Anonimo,Disponibile,"Ogni NO ti avvicina al SÌ che cambierà la tua carriera. — Anonimo"
38,Vendita,"La vendita non è un atto, è un’abitudine.",Aristotele,Disponibile,"La vendita non è un atto, è un’abitudine. — Aristotele"
39,Vendita,"Non chiudere una vendita, apri una relazione.",Patricia Fripp,Disponibile,"Non chiudere una vendita, apri una relazione. — Patricia Fripp"
40,Vendita,"Le persone non comprano ciò che fai, comprano il perché lo fai.",Simon Sinek,Disponibile,"Le persone non comprano ciò che fai, comprano il perché lo fai. — Simon Sinek"
41,Vendita,"Se non ti prendi cura del tuo cliente, lo farà il tuo concorrente.",Bob Hooey,Disponibile,"Se non ti prendi cura del tuo cliente, lo farà il tuo concorrente. — Bob Hooey"
42,Vendita,"L’approccio mentale è più importante dell’attitudine alla vendita.",Zig Ziglar,Disponibile,"L’approccio mentale è più importante dell’attitudine alla vendita. — Zig Ziglar"
43,Vendita,"Per avere successo nelle vendite, devi credere nel tuo prodotto più di chiunque altro.",Antonio Giancani,Disponibile,"Per avere successo nelle vendite, devi credere nel tuo prodotto più di chiunque altro. — Antonio Giancani"
44,Vendita,"Ascolta il doppio di quanto parli. Per questo hai due orecchie e una bocca.",Epitteto,Disponibile,"Ascolta il doppio di quanto parli. Per questo hai due orecchie e una bocca. — Epitteto"
45,Vendita,"Il prezzo è quello che paghi. Il valore è quello che ottieni.",Warren Buffett,Disponibile,"Il prezzo è quello che paghi. Il valore è quello che ottieni. — Warren Buffett"
46,Vendita,"Non abbassare il prezzo, aumenta il valore.",Grant Cardone,Disponibile,"Non abbassare il prezzo, aumenta il valore. — Grant Cardone"
47,Vendita,"Vendere è trasferire la tua convinzione a un'altra persona.",Brian Tracy,Disponibile,"Vendere è trasferire la tua convinzione a un'altra persona. — Brian Tracy"
48,Vendita,"Il miglior venditore è colui che risolve problemi, non colui che spinge prodotti.",Anonimo,Disponibile,"Il miglior venditore è colui che risolve problemi, non colui che spinge prodotti. — Anonimo"
49,Vendita,"La fiducia è la valuta più preziosa nel mercato immobiliare.",Antonio Giancani,Disponibile,"La fiducia è la valuta più preziosa nel mercato immobiliare. — Antonio Giancani"
50,Vendita,"Smetti di vendere. Inizia ad aiutare.",Zig Ziglar,Disponibile,"Smetti di vendere. Inizia ad aiutare. — Zig Ziglar"
51,Disciplina,"La disciplina è il ponte tra gli obiettivi e i risultati.",Jim Rohn,Disponibile,"La disciplina è il ponte tra gli obiettivi e i risultati. — Jim Rohn"
52,Disciplina,"Soffri ora e vivi il resto della tua vita come un campione.",Muhammad Ali,Disponibile,"Soffri ora e vivi il resto della tua vita come un campione. — Muhammad Ali"
53,Disciplina,"Non devi essere grande per iniziare, ma devi iniziare per essere grande.",Zig Ziglar,Disponibile,"Non devi essere grande per iniziare, ma devi iniziare per essere grande. — Zig Ziglar"
54,Disciplina,"La motivazione ti fa iniziare. L'abitudine ti fa continuare.",Jim Ryun,Disponibile,"La motivazione ti fa iniziare. L'abitudine ti fa continuare. — Jim Ryun"
55,Disciplina,"Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno.",Robert Collier,Disponibile,"Il successo è la somma di piccoli sforzi, ripetuti giorno dopo giorno. — Robert Collier"
56,Disciplina,"Lavora in silenzio e lascia che sia il tuo successo a fare rumore.",Frank Ocean,Disponibile,"Lavora in silenzio e lascia che sia il tuo successo a fare rumore. — Frank Ocean"
57,Disciplina,"La fortuna è ciò che accade quando la preparazione incontra l'opportunità.",Seneca,Disponibile,"La fortuna è ciò che accade quando la preparazione incontra l'opportunità. — Seneca"
58,Disciplina,"Non contare i giorni, fai in modo che i giorni contino.",Muhammad Ali,Disponibile,"Non contare i giorni, fai in modo che i giorni contino. — Muhammad Ali"
59,Disciplina,"O trovi un modo, o trovi una scusa.",Antonio Giancani,Disponibile,"O trovi un modo, o trovi una scusa. — Antonio Giancani"
60,Disciplina,"La differenza tra chi sei e chi vuoi essere è ciò che fai.",Anonimo,Disponibile,"La differenza tra chi sei e chi vuoi essere è ciò che fai. — Anonimo"
61,Disciplina,"Se sei stanco, impara a riposare, non a mollare.",Banksy,Disponibile,"Se sei stanco, impara a riposare, non a mollare. — Banksy"
62,Disciplina,"L'unico posto in cui successo viene prima di sudore è il dizionario.",Vidal Sassoon,Disponibile,"L'unico posto in cui successo viene prima di sudore è il dizionario. — Vidal Sassoon"
63,Disciplina,"L'eccellenza non è un atto, ma un'abitudine.",Aristotele,Disponibile,"L'eccellenza non è un atto, ma un'abitudine. — Aristotele"
64,Disciplina,"Fai oggi quello che gli altri faranno domani.",Antonio Giancani,Disponibile,"Fai oggi quello che gli altri faranno domani. — Antonio Giancani"
65,Disciplina,"Il dolore della disciplina pesa grammi, il dolore del rimpianto pesa tonnellate.",Jim Rohn,Disponibile,"Il dolore della disciplina pesa grammi, il dolore del rimpianto pesa tonnellate. — Jim Rohn"
66,Business,"Le opportunità non accadono. Le crei tu.",Chris Grosser,Disponibile,"Le opportunità non accadono. Le crei tu. — Chris Grosser"
67,Business,"Se non costruisci il tuo sogno, qualcuno ti assumerà per costruire il suo.",Tony Gaskins,Disponibile,"Se non costruisci il tuo sogno, qualcuno ti assumerà per costruire il suo. — Tony Gaskins"
68,Business,"Il segreto del business è sapere qualcosa che nessun altro sa.",Aristotele Onassis,Disponibile,"Il segreto del business è sapere qualcosa che nessun altro sa. — Aristotele Onassis"
69,Business,"Non è la specie più forte a sopravvivere, ma quella più reattiva al cambiamento.",Charles Darwin,Disponibile,"Non è la specie più forte a sopravvivere, ma quella più reattiva al cambiamento. — Charles Darwin"
70,Business,"Qualità significa fare le cose bene quando nessuno ti sta guardando.",Henry Ford,Disponibile,"Qualità significa fare le cose bene quando nessuno ti sta guardando. — Henry Ford"
71,Business,"Il rischio più grande è non correre alcun rischio.",Mark Zuckerberg,Disponibile,"Il rischio più grande è non correre alcun rischio. — Mark Zuckerberg"
72,Business,"Un cliente soddisfatto è la migliore strategia di business.",Michael LeBoeuf,Disponibile,"Un cliente soddisfatto è la migliore strategia di business. — Michael LeBoeuf"
73,Business,"Nell'immobiliare, la posizione è tutto. Nel business, la reputazione è tutto.",Antonio Giancani,Disponibile,"Nell'immobiliare, la posizione è tutto. Nel business, la reputazione è tutto. — Antonio Giancani"
74,Business,"Non ho fallito. Ho solo trovato 10.000 modi che non funzionano.",Thomas Edison,Disponibile,"Non ho fallito. Ho solo trovato 10.000 modi che non funzionano. — Thomas Edison"
75,Business,"Il successo negli affari richiede addestramento, disciplina e duro lavoro.",David Rockefeller,Disponibile,"Il successo negli affari richiede addestramento, disciplina e duro lavoro. — David Rockefeller"
76,Business,"Chi smette di fare pubblicità per risparmiare soldi è come se fermasse l'orologio per risparmiare il tempo.",Henry Ford,Disponibile,"Chi smette di fare pubblicità per risparmiare soldi è come se fermasse l'orologio per risparmiare il tempo. — Henry Ford"
77,Business,"Il profitto è importante, ma la cassa è vitale.",Anonimo,Disponibile,"Il profitto è importante, ma la cassa è vitale. — Anonimo"
78,Business,"Lavora finché il tuo conto in banca non sembra un numero di telefono.",Anonimo,Disponibile,"Lavora finché il tuo conto in banca non sembra un numero di telefono. — Anonimo"
79,Business,"Le grandi cose nel business non sono mai fatte da una sola persona.",Steve Jobs,Disponibile,"Le grandi cose nel business non sono mai fatte da una sola persona. — Steve Jobs"
80,Business,"Il vero imprenditore è un esecutore, non un sognatore.",Antonio Giancani,Disponibile,"Il vero imprenditore è un esecutore, non un sognatore. — Antonio Giancani"
81,Focus,"Concentrati su dove vuoi andare, non su ciò che temi.",Tony Robbins,Disponibile,"Concentrati su dove vuoi andare, non su ciò che temi. — Tony Robbins"
82,Focus,"Ciò su cui ti concentri si espande.",T. Harv Eker,Disponibile,"Ciò su cui ti concentri si espande. — T. Harv Eker"
83,Focus,"Il multitasking è una bugia. Fai una cosa, falla bene.",Anonimo,Disponibile,"Il multitasking è una bugia. Fai una cosa, falla bene. — Anonimo"
84,Focus,"La tua attenzione è la tua risorsa più preziosa. Non sprecarla.",Antonio Giancani,Disponibile,"La tua attenzione è la tua risorsa più preziosa. Non sprecarla. — Antonio Giancani"
85,Focus,"L'energia fluisce dove va l'attenzione.",Tony Robbins,Disponibile,"L'energia fluisce dove va l'attenzione. — Tony Robbins"
86,Focus,"Sii così bravo che non potranno ignorarti.",Steve Martin,Disponibile,"Sii così bravo che non potranno ignorarti. — Steve Martin"
87,Focus,"Non guardare l'orologio; fai ciò che fa. Vai avanti.",Sam Levenson,Disponibile,"Non guardare l'orologio; fai ciò che fa. Vai avanti. — Sam Levenson"
88,Focus,"La chiarezza porta potere.",Tony Robbins,Disponibile,"La chiarezza porta potere. — Tony Robbins"
89,Focus,"Un'ora di focus vale più di un giorno di distrazioni.",Cal Newport,Disponibile,"Un'ora di focus vale più di un giorno di distrazioni. — Cal Newport"
90,Focus,"Elimina il superfluo. Focalizzati sull'essenziale.",Leo Babauta,Disponibile,"Elimina il superfluo. Focalizzati sull'essenziale. — Leo Babauta"
91,Focus,"Tieni gli occhi sulle stelle e i piedi per terra.",Theodore Roosevelt,Disponibile,"Tieni gli occhi sulle stelle e i piedi per terra. — Theodore Roosevelt"
92,Focus,"La direzione è più importante della velocità.",Anonimo,Disponibile,"La direzione è più importante della velocità. — Anonimo"
93,Focus,"Non puoi colpire un bersaglio che non vedi.",Zig Ziglar,Disponibile,"Non puoi colpire un bersaglio che non vedi. — Zig Ziglar"
94,Focus,"Il guerriero di successo è un uomo medio con un focus simile al laser.",Bruce Lee,Disponibile,"Il guerriero di successo è un uomo medio con un focus simile al laser. — Bruce Lee"
95,Focus,"Meno distrazioni, più azioni.",Antonio Giancani,Disponibile,"Meno distrazioni, più azioni. — Antonio Giancani"
96,Mindset,"Impara le regole del gioco come un professionista, così puoi infrangerle come un artista.",Pablo Picasso,Disponibile,"Impara le regole del gioco come un professionista, così puoi infrangerle come un artista. — Pablo Picasso"
97,Mindset,"Non limitare le tue sfide, sfida i tuoi limiti.",Anonimo,Disponibile,"Non limitare le tue sfide, sfida i tuoi limiti. — Anonimo"
98,Mindset,"Se vuoi volare, devi rinunciare alle cose che ti pesano.",Toni Morrison,Disponibile,"Se vuoi volare, devi rinunciare alle cose che ti pesano. — Toni Morrison"
99,Mindset,"Il coraggio non è l'assenza di paura, ma il trionfo su di essa.",Nelson Mandela,Disponibile,"Il coraggio non è l'assenza di paura, ma il trionfo su di essa. — Nelson Mandela"
100,Mindset,"Il tuo tempo è limitato, non sprecarlo vivendo la vita di qualcun altro.",Steve Jobs,Disponibile,"Il tuo tempo è limitato, non sprecarlo vivendo la vita di qualcun altro. — Steve Jobs"
101,Vendita,"Ogni cliente è una porta verso un nuovo mondo.",Antonio Giancani,Disponibile,"Ogni cliente è una porta verso un nuovo mondo. — Antonio Giancani"
102,Vendita,"La gente non vuole comprare un trapano da 5mm, vuole un buco da 5mm.",Theodore Levitt,Disponibile,"La gente non vuole comprare un trapano da 5mm, vuole un buco da 5mm. — Theodore Levitt"
103,Vendita,"Il rifiuto è solo un passo verso il successo.",Bo Bennett,Disponibile,"Il rifiuto è solo un passo verso il successo. — Bo Bennett"
104,Vendita,"Vendi il problema che risolvi, non il prodotto.",Anonimo,Disponibile,"Vendi il problema che risolvi, non il prodotto. — Anonimo"
105,Vendita,"Nell'immobiliare non conta l'immobile, conta la persona.",Antonio Giancani,Disponibile,"Nell'immobiliare non conta l'immobile, conta la persona. — Antonio Giancani"
106,Disciplina,"La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più.",Abraham Lincoln,Disponibile,"La disciplina è scegliere tra ciò che vuoi ora e ciò che vuoi di più. — Abraham Lincoln"
107,Disciplina,"L'autodisciplina inizia con il controllo dei tuoi pensieri.",Napoleon Hill,Disponibile,"L'autodisciplina inizia con il controllo dei tuoi pensieri. — Napoleon Hill"
108,Disciplina,"Svegliati con determinazione, vai a letto con soddisfazione.",George Lorimer,Disponibile,"Svegliati con determinazione, vai a letto con soddisfazione. — George Lorimer"
109,Disciplina,"Nessuna scusa. Solo risultati.",Antonio Giancani,Disponibile,"Nessuna scusa. Solo risultati. — Antonio Giancani"
110,Disciplina,"La costanza è la chiave che apre la serratura del successo.",Anonimo,Disponibile,"La costanza è la chiave che apre la serratura del successo. — Anonimo"
111,Business,"Il capitale più importante che hai sei tu stesso.",Warren Buffett,Disponibile,"Il capitale più importante che hai sei tu stesso. — Warren Buffett"
112,Business,"L'innovazione distingue un leader da un follower.",Steve Jobs,Disponibile,"L'innovazione distingue un leader da un follower. — Steve Jobs"
113,Business,"Nel business come nella vita, chi non risica non rosica.",Proverbio,Disponibile,"Nel business come nella vita, chi non risica non rosica. — Proverbio"
114,Business,"Costruisci il tuo impero un mattone alla volta.",Antonio Giancani,Disponibile,"Costruisci il tuo impero un mattone alla volta. — Antonio Giancani"
115,Business,"Il successo è un viaggio, non una destinazione.",Ben Sweetland,Disponibile,"Il successo è un viaggio, non una destinazione. — Ben Sweetland"
116,Mindset,"Cadi sette volte, rialzati otto.",Proverbio Giapponese,Disponibile,"Cadi sette volte, rialzati otto. — Proverbio Giapponese"
117,Mindset,"La pazienza è amara, ma il suo frutto è dolce.",Jean-Jacques Rousseau,Disponibile,"La pazienza è amara, ma il suo frutto è dolce. — Jean-Jacques Rousseau"
118,Mindset,"Chi non ha coraggio di osare non avrà nulla.",Antonio Giancani,Disponibile,"Chi non ha coraggio di osare non avrà nulla. — Antonio Giancani"
119,Mindset,"Sii padrone della tua mente o lei sarà padrona di te.",Buddha,Disponibile,"Sii padrone della tua mente o lei sarà padrona di te. — Buddha"
120,Mindset,"Il successo è la migliore vendetta.",Kanye West,Disponibile,"Il successo è la migliore vendetta. — Kanye West"
121,Vendita,"La trattativa inizia quando il cliente dice NO.",Antonio Giancani,Disponibile,"La trattativa inizia quando il cliente dice NO. — Antonio Giancani"
122,Vendita,"Fai in modo che comprare sia facile.",Anonimo,Disponibile,"Fai in modo che comprare sia facile. — Anonimo"
123,Vendita,"Un bravo venditore ha la memoria corta per i rifiuti.",Anonimo,Disponibile,"Un bravo venditore ha la memoria corta per i rifiuti. — Anonimo"
124,Vendita,"L'entusiasmo è contagioso. Inizia tu l'epidemia.",Anonimo,Disponibile,"L'entusiasmo è contagioso. Inizia tu l'epidemia. — Anonimo"
125,Vendita,"Vendi con onestà e guadagnerai per sempre.",Antonio Giancani,Disponibile,"Vendi con onestà e guadagnerai per sempre. — Antonio Giancani"
126,Disciplina,"L'azione cura la paura.",Anonimo,Disponibile,"L'azione cura la paura. — Anonimo"
127,Disciplina,"Non aspettare che le condizioni siano perfette per iniziare.",Anonimo,Disponibile,"Non aspettare che le condizioni siano perfette per iniziare. — Anonimo"
128,Disciplina,"Il talento è un dono, ma il carattere è una scelta.",John C. Maxwell,Disponibile,"Il talento è un dono, ma il carattere è una scelta. — John C. Maxwell"
129,Disciplina,"La grandezza nasce dai dettagli.",Antonio Giancani,Disponibile,"La grandezza nasce dai dettagli. — Antonio Giancani"
130,Disciplina,"Chi si ferma è perduto.",Proverbio,Disponibile,"Chi si ferma è perduto. — Proverbio"
131,Business,"I soldi amano la velocità.",Joe Vitale,Disponibile,"I soldi amano la velocità. — Joe Vitale"
132,Business,"Non lavorare per i soldi, fai lavorare i soldi per te.",Robert Kiyosaki,Disponibile,"Non lavorare per i soldi, fai lavorare i soldi per te. — Robert Kiyosaki"
133,Business,"Il miglior investimento che puoi fare è su te stesso.",Warren Buffett,Disponibile,"Il miglior investimento che puoi fare è su te stesso. — Warren Buffett"
134,Business,"Il network è il tuo net worth.",Anonimo,Disponibile,"Il network è il tuo net worth. — Anonimo"
135,Business,"La tua reputazione arriva nella stanza prima di te.",Antonio Giancani,Disponibile,"La tua reputazione arriva nella stanza prima di te. — Antonio Giancani"
136,Focus,"Sii presente. È l'unico momento che hai.",Anonimo,Disponibile,"Sii presente. È l'unico momento che hai. — Anonimo"
137,Focus,"Occhi sull'obiettivo, mente sulla strategia.",Antonio Giancani,Disponibile,"Occhi sull'obiettivo, mente sulla strategia. — Antonio Giancani"
138,Focus,"Non lasciare che il rumore delle opinioni altrui soffochi la tua voce interiore.",Steve Jobs,Disponibile,"Non lasciare che il rumore delle opinioni altrui soffochi la tua voce interiore. — Steve Jobs"
139,Focus,"La semplicità è la massima raffinatezza.",Leonardo da Vinci,Disponibile,"La semplicità è la massima raffinatezza. — Leonardo da Vinci"
140,Focus,"Fai una cosa alla volta e falla meglio di chiunque altro.",Anonimo,Disponibile,"Fai una cosa alla volta e falla meglio di chiunque altro. — Anonimo"
141,Mindset,"La tua vita cambia nel momento in cui prendi una decisione nuova e congruente.",Tony Robbins,Disponibile,"La tua vita cambia nel momento in cui prendi una decisione nuova e congruente. — Tony Robbins"
142,Mindset,"Non è forte chi non cade, ma chi cadendo ha la forza di rialzarsi.",Jim Morrison,Disponibile,"Non è forte chi non cade, ma chi cadendo ha la forza di rialzarsi. — Jim Morrison"
143,Mindset,"Il fallimento non è l'opposto del successo, è parte del successo.",Arianna Huffington,Disponibile,"Il fallimento non è l'opposto del successo, è parte del successo. — Arianna Huffington"
144,Mindset,"Sii affamato, sii folle.",Steve Jobs,Disponibile,"Sii affamato, sii folle. — Steve Jobs"
145,Mindset,"La mente è tutto. Ciò che pensi, diventi.",Buddha,Disponibile,"La mente è tutto. Ciò che pensi, diventi. — Buddha"
146,Mindset,"Non permettere al rumore delle opinioni altrui di soffocare la tua voce interiore.",Steve Jobs,Disponibile,"Non permettere al rumore delle opinioni altrui di soffocare la tua voce interiore. — Steve Jobs"
147,Mindset,"Il segreto del cambiamento è concentrare tutta la tua energia non nel combattere il vecchio, ma nel costruire il nuovo.",Socrate,Disponibile,"Il segreto del cambiamento è concentrare tutta la tua energia non nel combattere il vecchio, ma nel costruire il nuovo. — Socrate"
148,Mindset,"Fai quello che puoi, con quello che hai, nel posto in cui sei.",Theodore Roosevelt,Disponibile,"Fai quello che puoi, con quello che hai, nel posto in cui sei. — Theodore Roosevelt"
149,Mindset,"La vita inizia alla fine della tua zona di comfort.",Neale Donald Walsch,Disponibile,"La vita inizia alla fine della tua zona di comfort. — Neale Donald Walsch"
150,Mindset,"Se vuoi qualcosa che non hai mai avuto, devi fare qualcosa che non hai mai fatto.",Thomas Jefferson,Disponibile,"Se vuoi qualcosa che non hai mai avuto, devi fare qualcosa che non hai mai fatto. — Thomas Jefferson"
151,Mindset,"Non abbassare i tuoi standard per nessuno.",Antonio Giancani,Disponibile,"Non abbassare i tuoi standard per nessuno. — Antonio Giancani"
152,Mindset,"Il successo è la capacità di passare da un fallimento all'altro senza perdere l'entusiasmo.",Winston Churchill,Disponibile,"Il successo è la capacità di passare da un fallimento all'altro senza perdere l'entusiasmo. — Winston Churchill"
153,Mindset,"L'unico limite alla nostra realizzazione di domani saranno i nostri dubbi di oggi.",Franklin D. Roosevelt,Disponibile,"L'unico limite alla nostra realizzazione di domani saranno i nostri dubbi di oggi. — Franklin D. Roosevelt"
154,Mindset,"Agisci come se quel che fai facesse la differenza. La fa.",William James,Disponibile,"Agisci come se quel che fai facesse la differenza. La fa. — William James"
155,Mindset,"Credi di potercela fare e sei già a metà strada.",Theodore Roosevelt,Disponibile,"Credi di potercela fare e sei già a metà strada. — Theodore Roosevelt"
156,Mindset,"Il futuro appartiene a coloro che credono nella bellezza dei propri sogni.",Eleanor Roosevelt,Disponibile,"Il futuro appartiene a coloro che credono nella bellezza dei propri sogni. — Eleanor Roosevelt"
157,Mindset,"Non sognare la tua vita, vivi i tuoi sogni.",Antonio Giancani,Disponibile,"Non sognare la tua vita, vivi i tuoi sogni. — Antonio Giancani"
158,Mindset,"La perfezione non esiste, ma l'eccellenza sì.",Anonimo,Disponibile,"La perfezione non esiste, ma l'eccellenza sì. — Anonimo"
159,Mindset,"Sii il CEO della tua vita.",Antonio Giancani,Disponibile,"Sii il CEO della tua vita. — Antonio Giancani"
160,Mindset,"Il successo non bussa alla porta, devi sfondarla.",Anonimo,Disponibile,"Il successo non bussa alla porta, devi sfondarla. — Anonimo"
161,Vendita,"I grandi venditori sono creatori di relazioni, non semplici prenditori di ordini.",Brian Tracy,Disponibile,"I grandi venditori sono creatori di relazioni, non semplici prenditori di ordini. — Brian Tracy"
162,Vendita,"Ogni vendita ha cinque ostacoli: nessun bisogno, nessun soldo, nessuna fretta, nessun desiderio, nessuna fiducia.",Zig Ziglar,Disponibile,"Ogni vendita ha cinque ostacoli: nessun bisogno, nessun soldo, nessuna fretta, nessun desiderio, nessuna fiducia. — Zig Ziglar"
163,Vendita,"La vendita inizia quando il cliente dice NO.",Antonio Giancani,Disponibile,"La vendita inizia quando il cliente dice NO. — Antonio Giancani"
164,Vendita,"Non vendere caratteristiche, vendi benefici.",Anonimo,Disponibile,"Non vendere caratteristiche, vendi benefici. — Anonimo"
165,Vendita,"Le persone non comprano per motivi logici, ma per motivi emotivi.",Zig Ziglar,Disponibile,"Le persone non comprano per motivi logici, ma per motivi emotivi. — Zig Ziglar"
166,Vendita,"Il tuo sorriso è il tuo logo, la tua personalità è il tuo biglietto da visita.",Jay Danzie,Disponibile,"Il tuo sorriso è il tuo logo, la tua personalità è il tuo biglietto da visita. — Jay Danzie"
167,Vendita,"Tratta il cliente come se fossi tu.",Antonio Giancani,Disponibile,"Tratta il cliente come se fossi tu. — Antonio Giancani"
