ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
16,Miracoli di Gesù,Gesù Cammina sulle Acque,Matteo 14,20:00,"Ecco a voi in 2 minuti: il passo audace sulla superficie del mare. Nel cuore della notte la barca dei discepoli è sballottata dai marosi contrari. Gesù va incontro a loro camminando sulle acque: «Coraggio, sono io, non abbiate paura!» Pietro chiede di raggiungerlo e muove passi fermi sulle onde, ma guardando la forza del vento si spaventa e comincia ad affondare gridando: «Signore, salvami!» All'istante Gesù tende la mano e lo afferra: «Uomo di poca fede, perché hai dubitato?» La mano del Signore non manca mai di soccorrere chi cerca salvezza.",Pronto
17,Miracoli di Gesù,La Risurrezione di Lazzaro a Betania,Giovanni 11,20:00,"Ecco a voi in 2 minuti: la vittoria della vita sopra il sepolcro. A Betania Lazzaro è morto da quattro giorni e le sorelle Marta e Maria piangono sconsolate. Gesù si commuove profondamente fino alle lacrime dinanzi alla tomba scavata nella roccia. Ordina di togliere la grande pietra, alza gli occhi al Padre in ringraziamento e grida a gran voce: «Lazzaro, vieni fuori!» L'uomo esce dal sepolcro avvolto nelle bende funebri tra lo stupore dei presenti. La morte terrena non ha l'ultima parola per chi dimora nella sorgente della vita.",Pronto
18,Vangelo,I Discepoli sulla Via di Emmaus,Luca 24,20:00,"Ecco a voi in 2 minuti: l'incontro col Risorto lungo il cammino. Due discepoli camminano tristi e delusi verso il villaggio di Emmaus dopo la crocifissione. Uno sconosciuto si affianca a loro e spiega le profezie delle Scritture riaccendendo la speranza nei loro cuori. Giunti a destinazione, lo invitano: «Resta con noi, perché si fa sera.» A tavola egli prende il pane, lo benedice e lo spezza: in quell'istante i loro occhi si aprono e lo riconoscono prima che svanisca. «Non ardeva forse il nostro cuore mentre ci parlava lungo la via?»",Pronto
19,Atti degli Apostoli,La Pentecoste e lo Spirito Santo,Atti 2,20:00,"Ecco a voi in 2 minuti: la nascita radiosa della comunità apostolica. I credenti sono riuniti insieme in preghiera nel cenacolo a Gerusalemme. All'improvviso giunge dal cielo un fragore simile a vento gagliardo che riempie tutta la casa, mentre lingue di fuoco si posano sopra ciascuno. Ricolmi di Spirito Santo, gli apostoli escono senza timore parlando con franchezza a folle di pellegrini provenienti da ogni nazione, che intendono il messaggio ciascuno nella propria lingua. La fede autentica abbatte ogni barriera linguistica unendo le genti nella fratellanza.",Pronto
20,Atti degli Apostoli,La Conversione di Saulo a Damasco,Atti 9,20:00,"Ecco a voi in 2 minuti: la folgorante trasformazione di Saulo di Tarso. Animato da rigido zelo, Saulo cavalca verso Damasco con mandati per imprigionare i credenti. Improvvisamente una luce dal cielo lo abbaglia facendolo cadere a terra e una voce chiama: «Saulo, Saulo, perché mi perséguiti?» Privato della vista, viene condotto in città dove accoglie la preghiera di Anania: le squame cadono dai suoi occhi e riceve il battesimo. Il fiero oppositore si trasforma nell'apostolo Paolo, portatore instancabile di verità e riconciliazione tra i popoli.",Pronto
21,Antico Testamento,La Creazione dell'Uomo e l'Eden,Genesi 2,20:00,"Ecco a voi in 2 minuti: il soffio vitale nel giardino dell'Eden. L'Eterno plasma l'uomo dalla polvere della terra e soffia nelle sue narici un alito di vita. Lo pone in un giardino fecondo attraversato da quattro fiumi, ricco di alberi graditi alla vista e buoni da mangiare. Perché l'uomo non sia solo, crea la donna come compagna armoniosa e pari in dignità. La vita umana nasce da un disegno d'amore e di custodia responsabile del creato.",Pronto
22,Antico Testamento,La Chiamata di Abramo e la Partenza,Genesi 12,20:00,"Ecco a voi in 2 minuti: il viaggio di fede del padre dei credenti. A Carran, una voce divina chiama Abramo: «Esci dalla tua terra, dal tuo parentado e dalla casa di tuo padre, verso il paese che io ti mostrerò.» A settantacinque anni, senza mappe né certezze visibili, Abramo parte fidandosi unicamente della promessa. Costruisce altari lungo il cammino e benedice ogni terra toccata. Chi impara a fidarsi di Dio trova sempre la via verso orizzonti fecondi.",Pronto
23,Antico Testamento,La Promessa delle Stelle ad Abramo,Genesi 15,20:00,"Ecco a voi in 2 minuti: il patto della notte stellata. Abramo è rattristato per non avere un erede, ma l'Eterno lo conduce all'aperto nella notte: «Guarda il cielo e conta le stelle, se le puoi contare: tale sarà la tua discendenza.» Abramo crede alla promessa e questo gli viene imputato come giustizia. Nel buio più fitto, una fiaccola ardente passa tra i sacrifici suggellando un patto eterno. Nessuna notte è troppo buia per spegnere la fedeltà della promessa divina.",Pronto
24,Antico Testamento,L'Ospitalità alle Querce di Mamre,Genesi 18,20:00,"Ecco a voi in 2 minuti: la visita misteriosa all'ora più calda. Abramo è seduto all'ingresso della tenda quando vede tre viandanti. Corre loro incontro, si prostra e offre subito acqua per i piedi, ombra e focacce calde con latte e vitello tenero. Gli ospiti celesti annunciano: «L'anno prossimo tua moglie Sara avrà un figlio.» Sara ascolta da dietro la tenda e sorride per l'incredulità. «C'è forse qualcosa di troppo difficile per l'Eterno?» L'accoglienza sincera apre le porte al miracolo.",Pronto
25,Antico Testamento,La Prova sul Monte Moria,Genesi 22,20:00,"Ecco a voi in 2 minuti: la fede incrollabile sul monte Moria. Abramo è chiamato alla prova più dura: offrire sul monte l'amato figlio Isacco. Sale con legna e fuoco con cuore stretto ma fiducioso: «Dio provvederà l'agnello per l'olocausto, figlio mio.» Giunto in cima, mentre alza la mano, l'angelo del Signore lo ferma dal cielo: «Non stendere la mano contro il ragazzo!» Tra i cespugli appare un montone per il sacrificio. La vera dedizione non esige la perdita, ma dona la grazia della vita.",Pronto
26,Antico Testamento,La Scala di Giacobbe a Betel,Genesi 28,20:00,"Ecco a voi in 2 minuti: il sogno profetico di Giacobbe a Betel. In fuga dalla collera del fratello, Giacobbe si ferma a pernottare nel deserto, posando il capo su una pietra. In sogno vede una scala maestosa poggiata sulla terra, la cui cima tocca il cielo, con gli angeli di Dio che salgono e scendono. L'Eterno gli promette protezione ovunque andrà. Al risveglio Giacobbe esclama: «Certo l'Eterno è in questo luogo e io non lo sapevo!» Anche nella solitudine più aspra il cielo rimane sempre aperto sopra di noi.",Pronto
27,Antico Testamento,La Lotta di Giacobbe allo Iabbok,Genesi 32,20:00,"Ecco a voi in 2 minuti: la notte che mutò il nome di Giacobbe. Rimasto solo al guado del torrente Iabbok, un uomo misterioso lotta con lui fino allo spuntare dell'aurora. Giacobbe non cede e dice: «Non ti lascerò andare se prima non mi avrai benedetto!» Il messaggero gli risponde: «Non ti chiamerai più Giacobbe, ma Israele, perché hai lottato con Dio e con gli uomini e hai vinto.» Il sole sorge su Peniel: l'uomo ferito nella carne rinasce forte nello spirito e pronto alla pace.",Pronto
28,Antico Testamento,Giuseppe e la Tunica dalle Lunghe Maniche,Genesi 37,20:00,"Ecco a voi in 2 minuti: i sogni del giovane Giuseppe in Canaan. Amato dal padre Giacobbe, Giuseppe riceve una splendida tunica variopinta. Fa sogni profetici sui covoni di grano e le stelle che si inchinano, attirando la gelosia dei fratelli. A Dotan i fratelli lo gettano in una cisterna vuota e lo vendono a una carovana di mercanti ismaeliti diretti in Egitto. Ma anche nel tradimento e nell'esilio, la provvidenza di Dio prepara in silenzio la salvezza per un intero popolo.",Pronto
29,Antico Testamento,Giuseppe e i Sogni del Faraone,Genesi 41,20:00,"Ecco a voi in 2 minuti: dalla prigione alla guida dell'Egitto. Il Faraone è turbato da sogni misteriosi su sette vacche grasse divorate da sette vacche magre e sette spighe piene inghiottite da sette spighe aride. Nessun sapiente sa interpretarli. Tratto dalla prigione, Giuseppe spiega: «Sette anni di grande abbondanza saranno seguiti da sette anni di dura carestia.» Il Faraone riconosce lo Spirito di Dio in lui e lo nomina viceré. La saggezza unita all'integrità trasforma le crisi in vita.",Pronto
30,Antico Testamento,Giuseppe Perdona i Suoi Fratelli,Genesi 45,20:00,"Ecco a voi in 2 minuti: il trionfo del perdono fraterno. Durante la carestia, i fratelli scendono in Egitto per comprare grano senza riconoscere Giuseppe. Dopo aver messo alla prova il loro cuore, Giuseppe non trattiene più il pianto e svela la sua identità: «Io sono Giuseppe, vostro fratello!» I fratelli tremano, ma egli li rassicura: «Non vi affliggete: non siete stati voi a mandarmi qui, ma Dio, per salvare molte vite.» La riconciliazione cancella il passato e fa fiorire la speranza.",Pronto
31,Antico Testamento,La Nascita di Mosè nel Cestello di Papiro,Esodo 2,20:00,"Ecco a voi in 2 minuti: la salvezza del piccolo Mosè sulle acque del Nilo. Il faraone decreta la soppressione di tutti i neonati ebrei maschi. Una madre coraggiosa nasconde il piccolo per tre mesi, poi lo adagia in un canestro di giunchi spalmato di pece tra le canne della riva. La figlia del faraone scende a fare il bagno, scorge il cesto, ode il pianto del bambino e ne ha pietà, crescendolo come figlio. Nessun decreto d'ingiustizia può fermare il disegno provvidenziale della vita.",Pronto
32,Antico Testamento,La Notte della Pasqua e l'Agnello,Esodo 12,20:00,"Ecco a voi in 2 minuti: la notte che segnò la liberazione d'Israele. L'Eterno comanda a ogni famiglia di prendere un agnello senza difetto e di segnare gli stipiti e l'architrave della porta con il suo sangue. Consumano il pasto in fretta, con i calzari ai piedi e il bastone in mano, pronti al cammino. Nella notte il giudizio attraversa l'Egitto, ma risparmia ogni casa segnata dal sangue. È la Pasqua: il passaggio dal giogo della schiavitù alla dignità di popolo libero in cammino.",Pronto
33,Antico Testamento,La Manna e le Quaglie nel Deserto,Esodo 16,20:00,"Ecco a voi in 2 minuti: il pane del cielo nelle sabbie del deserto. Nel deserto di Sin il popolo protesta per la mancanza di cibo rimpiangendo il pane d'Egitto. Mosè risponde con serenità: «Stasera vedrete la gloria di Dio e domattina sarete saziati.» A sera uno stormo di quaglie copre l'accampamento e al mattino, evaporata la rugiada, compare uno strato fine e granuloso: la manna. «Che cos'è?» chiedono stupiti. È il nutrimento quotidiano che insegna a confidare giorno per giorno nella provvidenza.",Pronto
34,Antico Testamento,L'Acqua dalla Roccia a Massa e Meriba,Esodo 17,20:00,"Ecco a voi in 2 minuti: il torrente sgorgato dalla pietra arida. Ad Refidim il popolo soffre per la sete e contende aspramente con Mosè. Mosè si rivolge all'Eterno che gli ordina: «Prendi il bastone con cui hai percosso il Nilo, avanza davanti agli anziani e colpisci la roccia in Oreb.» Mosè percuote la pietra e all'istante sgorga un torrente limpido e abbondante che disseta uomini e greggi. Anche nei momenti di massima aridità interiore, la grazia sa far scaturire sorgenti inattese di ristoro.",Pronto
35,Antico Testamento,I Trecento Guerrieri di Gedeone,Giudici 7,20:00,"Ecco a voi in 2 minuti: la vittoria conseguita non per numero ma per fede. L'immenso esercito dei Madianiti minaccia Israele. L'Eterno dice a Gedeone che i suoi trentaduemila soldati sono troppi: seleziona solo trecento uomini attenti che bevono portando l'acqua alla bocca con la mano. Nella notte, armati solo di trombe, brocche e torce accese, circondano l'accampamento nemico rompendo i vasi e gridando: «Per l'Eterno e per Gedeone!» Il nemico si disperde nel panico. La fede autentica vince le sfide più ardue.",Pronto
36,Antico Testamento,La Forza e il Riscatto di Sansone,Giudici 16,20:00,"Ecco a voi in 2 minuti: la caduta e il riscatto finale di Sansone. Tradito per denaro, privato della chioma votiva e accecato, il forte giudice d'Israele è ridotto in catene a girare la mola nella prigione filistea. Durante una grande festa nel tempio pagano, viene condotto tra le colonne per essere deriso. Sansone si appoggia alle due colonne maestre e prega: «Signore Eterno, ricordati di me, dammi forza ancora questa volta!» Spinge con potenza e l'edificio crolla. Il pentimento sincero ritrova sempre la dignità.",Pronto
37,Antico Testamento,La Fedeltà di Rut verso Noemi,Rut 1,20:00,"Ecco a voi in 2 minuti: l'alleanza d'amore tra due donne provate dal lutto. Rimasta vedova e priva di figli nella terra di Moab, Noemi decide di tornare a Betlemme ed esorta le nuore a rifarsi una vita. Ma Rut moabita si stringe a lei pronunciando parole eterne: «Non pregarmi di lasciarti: dove andrai tu andrò anch'io, il tuo popolo sarà il mio popolo e il tuo Dio sarà il mio Dio.» La lealtà disinteressata trasforma la solitudine in una stirpe regale che giungerà fino a Davide.",Pronto
38,Antico Testamento,L'Incontro tra Boaz e Rut nel Campo,Rut 2,20:00,"Ecco a voi in 2 minuti: la grazia della spigolatura nei campi d'orzo. A Betlemme, la giovane Rut va a raccogliere le spighe cadute dietro i mietitori nel campo di Boaz, parente nobile e giusto. Boaz si informa su di lei, ne loda la devozione verso la suocera e ordina ai servi di lasciare cadere spighe apposta per lei, garantendole protezione e cibo. Dalla generosità e dal rispetto nasce un matrimonio che riscatterà la famiglia. Il bene seminato con purezza torna sempre moltiplicato.",Pronto
39,Antico Testamento,La Preghiera di Anna al Santuario di Silo,1 Samuele 1,20:00,"Ecco a voi in 2 minuti: le lacrime esaudite di una madre credente. Anna soffre per la propria sterilità e sale al santuario di Silo. Inginocchiata, prega con fervore muovendo le labbra ma senza emettere voce, versando la sua anima dinanzi all'Eterno. Il sacerdote Eli la scambia per ebbra, ma ella spiega: «Sono una donna affranta nello spirito.» Eli la benedice: «Il Dio d'Israele ti conceda ciò che hai chiesto.» Anna concepisce e dà alla luce Samuele, consacrandolo al servizio sacro.",Pronto
40,Antico Testamento,La Chiamata Notturna di Samuele,1 Samuele 3,20:00,"Ecco a voi in 2 minuti: la voce nel silenzio del santuario. Il giovane Samuele dorme nel tempio dove si trova l'arca di Dio. Nella notte una voce lo chiama per tre volte: «Samuele!» Il ragazzo corre dall'anziano Eli pensando sia lui, ma Eli comprende che è il Signore e lo istruisce: «Se ti chiama ancora, dirai: Parla, Signore, perché il tuo servo ascolta.» La voce risuona una quarta volta e Samuele risponde con umiltà, diventando profeta fedele per tutta la nazione.",Pronto
41,Antico Testamento,L'Unzione del Giovane Pastore Davide,1 Samuele 16,20:00,"Ecco a voi in 2 minuti: lo sguardo divino che scruta il cuore. Il profeta Samuele giunge a Betlemme per ungere il nuovo re tra i figli di Iesse. Vede sfilare i fratelli maggiori, forti e di bell'aspetto, ma l'Eterno lo ammonisce: «L'uomo guarda all'apparenza, ma il Signore guarda al cuore.» Fanno chiamare l'ultimo figlio, Davide, che pascola il gregge. Appena entra, l'Eterno dice: «Alzati, ungilo: è lui!» L'olio scende sul suo capo e lo Spirito investe il giovane pastore.",Pronto
42,Antico Testamento,Davide Risparmia Saul nella Grotta,1 Samuele 24,20:00,"Ecco a voi in 2 minuti: la nobiltà del perdono sul campo di battaglia. Il re Saul insegue Davide nel deserto di En-Gedi con tremila soldati. Saul entra per un bisogno proprio nella caverna dove Davide e i suoi uomini sono nascosti nel buio. Gli uomini esortano: «Ecco il giorno in cui il nemico è nelle tue mani!» Ma Davide si limita a tagliare furtivamente un lembo del mantello, rifiutando di alzare la mano sul re consacrato. Mostrando il lembo a distanza, dimostra la sua totale innocenza.",Pronto
43,Antico Testamento,Salomone Chiede la Sapienza nel Sogno,1 Re 3,20:00,"Ecco a voi in 2 minuti: la preghiera per un cuore saggio e giusto. Salomone sale al trono da giovane e a Gabaon l'Eterno gli appare in sogno dicendo: «Chiedimi ciò che vuoi e io te lo darò.» Salomone non chiede ricchezza, gloria militare o lunga vita, ma supplica: «Concedi al tuo servo un cuore intelligente per governare il tuo popolo e discernere il bene dal male.» Dio gradisce la richiesta e gli dona una sapienza insuperabile unita a prosperità e onore.",Pronto
44,Antico Testamento,Il Giudizio di Salomone sulle Due Madri,1 Re 3,20:00,"Ecco a voi in 2 minuti: la saggezza che rivela l'amore materno. Due donne si presentano davanti al re contendendosi un unico neonato vivo, affermando entrambe di esserne la madre. Non vi sono testimoni. Salomone ordina: «Portatemi una spada: tagliate il bambino vivo a metà e datene una parte a ciascuna!» La finta madre acconsente con durezza, mentre la vera madre grida disperata: «Date a lei il bambino vivo, non uccidetelo!» Il re riconosce la vera madre e le affida il figlio.",Pronto
45,Antico Testamento,Elia e i Corvi al Torrente Cherit,1 Re 17,20:00,"Ecco a voi in 2 minuti: il sostentamento prodigioso nella solitudine. Il profeta Elia annuncia una dura siccità sul regno d'Israele per l'idolatria del popolo. L'Eterno gli ordina di nascondersi presso il torrente Cherit: «Berrai al torrente e ho comandato ai corvi di portarti da mangiare.» Mattina e sera i corvi gli portano pane e carne, mentre l'acqua del torrente lo disseta ogni giorno. Anche nelle stagioni di deserto più aspro, chi compie la volontà di Dio non viene mai abbandonato.",Pronto
46,Antico Testamento,L'Orcio d'Olio della Vedova di Sarepta,1 Re 17,20:00,"Ecco a voi in 2 minuti: la generosità che genera abbondanza. In piena carestia Elia giunge a Sarepta e chiede un boccone di pane a una povera vedova che raccoglie legna. La donna confessa in lacrime di avere solo un pugno di farina nel vaso e un filo d'olio nell'orcio per preparare l'ultimo pasto con il figlio prima di morire. Elia la incoraggia: «Prepara prima una focaccia per me: la farina non si esaurirà e l'olio non mancherà.» La donna si fida e la dispensa resta ricolma per mesi.",Pronto
47,Antico Testamento,La Voce del Silenzio Sottile sull'Oreb,1 Re 19,20:00,"Ecco a voi in 2 minuti: la presenza divina nel soffio leggero. Scoraggiato e perseguitato, Elia cammina quaranta giorni fino al monte Oreb e si rifugia in una caverna. L'Eterno gli comanda di uscire: passa un vento impetuoso che spacca le rocce, ma il Signore non è nel vento; poi un terremoto e un fuoco divorante, ma Dio non è in essi. Dopo il fuoco, si leva un sussurro di vento leggero, una voce di silenzio sottile. Elia si copre il volto col mantello: lì dimora la pace di Dio.",Pronto
48,Antico Testamento,Il Carro di Fuoco e l'Ascesa di Elia,2 Re 2,20:00,"Ecco a voi in 2 minuti: il passaggio di testimone verso il cielo. Presso le rive del Giordano, Elia cammina con il fedele discepolo Eliseo, che rifiuta di lasciarlo. Con il proprio mantello Elia percuote le acque, che si aprono lasciandoli passare all'asciutto. All'improvviso appare un carro di fuoco con cavalli ardenti che li separa: Elia ascende al cielo in un turbine. Il mantello cade a terra nelle mani di Eliseo, pronto a continuare la missione con spirito raddoppiato.",Pronto
49,Antico Testamento,La Guarigione di Naaman il Siro nel Giordano,2 Re 5,20:00,"Ecco a voi in 2 minuti: la guarigione attraverso l'umiltà del gesto semplice. Naaman, illustre generale dell'esercito siriano, è affetto da lebbra. Su suggerimento di una piccola serva israelita, si reca dal profeta Eliseo per essere risanato. Eliseo gli manda a dire: «Va', làvati sette volte nel Giordano e la tua carne tornerà sana.» Il generale si sdegna per la semplicità della richiesta, ma convinto dai servi obbedisce e si immerge: la sua pelle torna pura come quella di un fanciullo.",Pronto
50,Antico Testamento,I Tre Giovani nella Fornace Ardente,Daniele 3,20:00,"Ecco a voi in 2 minuti: l'incolumità nel fuoco della fedeltà. A Babilonia, re Nabucodonosor innalza una statua d'oro colossale ordinando a tutti di prostrarsi al suono degli strumenti. Sadrac, Mesac e Abednego rifiutano di adorare gli idoli. Vengono gettati legati in una fornace infuocata sette volte più del consueto. Il re guarda sbigottito e vede quattro uomini slegati camminare illesi tra le fiamme, e l'aspetto del quarto è simile a un figlio degli dèi. Nessun fuoco terreno prevale sui giusti.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
